X,Função W(x)
356.5,4.395706068864137
357.0,4.396847886921016
357.5,4.397988161741848
358.0,4.399126897543313
358.5,4.400264098524744
359.0,4.401399768868223
359.5,4.402533912738678
360.0,4.403666534283973
360.5,4.404797637635005
361.0,4.405927226905794
361.5,4.407055306193577
362.0,4.4081818795788985
362.5,4.4093069511257
363.0,4.410430524881413
363.5,4.4115526048770475
364.0,4.4126731951272795
364.5,4.413792299630542
365.0,4.414909922369109
365.5,4.416026067309185
366.0,4.417140738400996
366.5,4.418253939578865
367.0,4.419365674761309
367.5,4.420475947851113
368.0,4.4215847627354234
368.5,4.4226921232858265
369.0,4.423798033358434
369.5,4.424902496793963
370.0,4.4260055174178214
370.5,4.427107099040187
371.0,4.428207245456089
371.5,4.42930596044549
372.0,4.430403247773362
372.5,4.43149911118977
373.0,4.43259355442995
373.5,4.433686581214385
374.0,4.434778195248883
374.5,4.435868400224659
375.0,4.436957199818404
375.5,4.43804459769237
376.0,4.439130597494438
376.5,4.440215202858198
377.0,4.441298417403021
377.5,4.442380244734137
378.0,4.443460688442705
378.5,4.444539752105886
379.0,4.445617439286922
379.5,4.446693753535199
380.0,4.447768698386329
